method,time_mean,time_std,result,num_process
single_process,0.8860973854898475,0.0316875341760936,2.6788340550072443,
library,2.121902070939541e-05,1.8152458404368872e-06,2.678835516246704,
mpi,0.1938728439272381,0.0653939045829,2.678834055007315,32.0
mpi,0.1463568750186823,0.0196770517762478,2.6788340550073153,20.0
mpi,0.1593915309640579,0.0171083341902228,2.678834055007318,8.0
mpi,0.4408016044762917,0.0016360961670485,2.6788340550073406,2.0
mpi,0.3018722496926784,0.0006907249511699,2.6788296599287547,3.0
mpi,0.861413458478637,0.0010013468457526,2.6788340550072443,1.0
mpi,0.2861416667583398,0.0464070130442918,2.678834055007288,4.0
mpi,0.1827441872446797,0.0023422719259328,2.678834055007302,5.0
mpi,0.1497132185613736,0.0055730228358544,2.678829659928735,7.0
mpi,0.1552782082580961,0.0017434874759565,2.67881647471975,6.0
mpi,0.1527176041854545,0.0097477564181478,2.6788340550073135,10.0
mpi,0.1399134377134032,0.0239589552009017,2.678816474719743,12.0
mpi,0.1726122918189503,0.04696961851332,2.67883405500732,16.0
